ID,Topic,Source,Question,Translation
Kik-in-17,Food,Indonesian (Indonesia),What fruit is more commonly sold and found during Ramadan in Iran?,چه میوه‌ای در ماه رمضان درایران بیشتر فروخته و یافت می‌شود؟
Kik-in-24,Food,Indonesian (Indonesia),What carbohydrate is usually served with chicken in a fast-food restaurant in Iran?,چه کربوهیدراتی معمولاً همراه با مرغ در رستوران‌های فست‌فود درایران سرو می‌شود؟
Kik-in-31,Sport,Indonesian (Indonesia),What is the most famous martial art sports in Iran?,درایران معروف‌ترین ورزش‌های رزمی چیست؟
Kik-in-34,Sport,Indonesian (Indonesia),What sports are often broadcasted on national television in Iran?,درایران چه ورزش‌هایی اغلب در تلویزیون ملی پخش می‌شوند؟
Kik-in-35,Sport,Indonesian (Indonesia),What sports were popular among people from Iran during the COVID-19 pandemic?,درایران چه ورزش‌هایی در بین مردم در طول همه‌گیری کووید-۱۹ محبوب بودند؟
Kik-in-36,Sport,Indonesian (Indonesia),Who is the most popular soccer coach in Iran?,درایران محبوب‌ترین مربی فوتبال چه کسی است؟
Kik-in-37,Sport,Indonesian (Indonesia),What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),درایران چه تیم‌های فوتبال به خاطر رقابت شدیدشان معروف هستند؟ (مثلاً ___ در مقابل ___)
Kik-in-38,Sport,Indonesian (Indonesia),What are the names of soccer supporters in Iran who are famous for their intense rivalry? (e.g. ___ vs ___),درایران نام هواداران تیم‌های فوتبال که به خاطر رقابت شدیدشان معروف هستند، چیست؟ (مثلاً ___ در مقابل ___)
Kik-in-40,Sport,Indonesian (Indonesia),Who is the most famous male badminton player in Iran?,درایران معروف‌ترین بازیکن مرد بدمینتون چه کسی است؟
Kik-in-41,Sport,Indonesian (Indonesia),Who is the most famous female badminton player in Iran?,درایران مشهورترین بازیکن زن بدمینتون چه کسی است؟
Kik-in-44,Sport,Indonesian (Indonesia),What sport gets the most support from the government in Iran?,درایران چه ورزشی بیشترین حمایت را از دولت دریافت می‌کند؟
Kik-in-45,Sport,Indonesian (Indonesia),What sports field facilities are usually available at schools in Iran?,درایران معمولاً چه امکانات ورزشی در زمین‌های ورزشی مدارس وجود دارد؟
Na-ko-02,Food,Korean (South Korea),What cafe beverage do people from Iran most commonly enjoy?,مردم درایران معمولاً از چه نوشیدنی کافی شاپ بیشتر لذت می‌برند؟
Na-ko-04,Food,Korean (South Korea),What is the preferred hangover cure food for people from Iran?,غذای مورد علاقه برای درمان مخموری در میان مردم درایران چیست؟
Na-ko-05,Food,Korean (South Korea),What is the typical delivery food in Iran?,غذای معمول تحویلی درایران چیست؟
Na-ko-07,Food,Korean (South Korea),What type of meat is consumed most by people from Iran?,مردم درایران بیشتر از چه نوع گوشتی استفاده می‌کنند؟
Na-ko-08,Food,Korean (South Korea),What fruit do people from Iran often eat in the autumn season?,مردم درایران در فصل پاییز معمولاً چه میوه‌ای می‌خورند؟
Na-ko-09,Food,Korean (South Korea),What side dish is the most commonly served on a dining table in Iran?,چه پیش غذایی بیشترین استفاده را روی میز غذا درایران دارد؟
Na-ko-11,Food,Korean (South Korea),What do people from Iran eat while watching a soccer game?,مردم درایران هنگام تماشای بازی فوتبال چه چیزی می‌خورند؟
Na-ko-15,Food,Korean (South Korea),What is the representative nourishing food in Iran?,غذای مقوی نماینده درایران چیست؟
Na-ko-16,Sport,Korean (South Korea),Who is the most famous soccer player in Iran?,درایران معروف‌ترین بازیکن فوتبال چه کسی است؟
Na-ko-17,Sport,Korean (South Korea),What sports do male students enjoy during lunch time at school in Iran?,درایران دانش‌آموزان پسر در زنگ ناهار در مدرسه  از چه ورزش‌هایی لذت می‌برند؟
Na-ko-18,Sport,Korean (South Korea),What is the most common sport girls participate in during physical education classes in Iran?,درایران رایج‌ترین ورزشی که دختران در کلاس‌های تربیت بدنی شرکت می‌کنند چیست؟
Na-ko-19,Sport,Korean (South Korea),Who is the most popular volleyball player in Iran?,درایران محبوب‌ترین بازیکن والیبال چه کسی است؟
Na-ko-20,Sport,Korean (South Korea),What sports event do people from Iran passionately support the most in international competitions?,درایران مردم بیشترین حمایت شورانگیز خود را در مسابقات بین‌المللی از چه رویداد ورزشی ابراز می‌دارند؟
Na-ko-22,Sport,Korean (South Korea),Which country is considered the biggest rival in soccer matches for Iran?,درایران کدام کشور بزرگترین رقیب  در مسابقات فوتبال به حساب می‌آید؟
Na-ko-23,Sport,Korean (South Korea),What type of sports academies do children attend the most in Iran?,درایران کودکان بیشتر به چه نوع آکادمی‌های ورزشی می‌روند؟
Na-ko-24,Sport,Korean (South Korea),What is the most commonly eaten food in sports stadiums while watching games in Iran?,درایران متداول‌ترین غذایی که در استادیوم‌های ورزشی هنگام تماشای بازی‌ها خورده می‌شود، چیست؟
Na-ko-25,Sport,Korean (South Korea),What are the typical sports played in Iran's school sports day?,درایران ورزش‌های معمولی که در روز ورزش مدارس انجام می‌شوند چیست؟
Na-ko-26,Sport,Korean (South Korea),What are the popular sports among the middle-aged population in Iran?,درایران ورزش‌های محبوب در بین جمعیت میانسال چیست؟
Na-ko-28,Sport,Korean (South Korea),Who is the most popular winter sports player in Iran?,درایران محبوب‌ترین ورزشکار زمستانی چه کسی است؟
Na-ko-29,Sport,Korean (South Korea),Who is the most famous swimmer in Iran?,درایران مشهورترین شناگر چه کسی است؟
Na-ko-30,Sport,Korean (South Korea),What is the most popular e-sports game in Iran?,درایران محبوب‌ترین بازی ای‌اسپورت چیست؟
Na-ko-33,Holidays/Celebration/Leisure,Korean (South Korea),What symbolic food do people from Iran eat on (Lunar) New Year?,مردم درایران در سال نو (قمری) چه غذاهای نمادینی می‌خورند؟
Na-ko-37,Holidays/Celebration/Leisure,Korean (South Korea),What is the most popular domestic vacation spot for people from Iran?,محبوب‌ترین مقصد داخلی برای تعطیلات برای مردم درایران کجاست؟
Na-ko-38,Holidays/Celebration/Leisure,Korean (South Korea),What is the most common wedding gift between bride and groom in Iran?,رایج‌ترین هدیه‌ی عروسی بین عروس و داماد درایران چیست؟
Na-ko-39,Holidays/Celebration/Leisure,Korean (South Korea),What is typically given as a congratulatory gesture when attending a friend's wedding in Iran?,معمولاً چه چیزی به عنوان حرکتی تبریکی هنگام شرکت در عروسی یک دوست درایران داده می‌شود؟
Na-ko-40,Holidays/Celebration/Leisure,Korean (South Korea),"How long (in days) does a funeral typically last in Iran? (Provide Arabic numerals (e.g., 12) only.)",مراسم تدفین درایران معمولاً چند روز طول می‌کشد؟ (فقط اعداد عربی (مثلاً 12) را وارد کنید.)
Na-ko-41,Holidays/Celebration/Leisure,Korean (South Korea),What should you prepare as a condolence offering when attending a funeral in Iran?,هنگام شرکت در مراسم خاکسپاری درایران، چه چیزی باید به عنوان هدیه تسلیت آماده کنید؟
Na-ko-42,Holidays/Celebration/Leisure,Korean (South Korea),What type of food is commonly provided at funeral parlors in Iran?,چه نوع غذایی معمولاً در مراسم ختم درایران ارائه می‌شود؟
Na-ko-43,Holidays/Celebration/Leisure,Korean (South Korea),What do people do in Iran in the morning of the (Lunar) New Year?,مردم درایران صبح روز (قمری) نو چه کارهایی انجام می‌دهند؟
Na-ko-44,Holidays/Celebration/Leisure,Korean (South Korea),When is the day with Iran's most severe nationwide traffic congestion?,روزی که شدیدترین ترافیک سراسری درایران رخ می‌دهد، چه روزی است؟
Na-ko-45,Holidays/Celebration/Leisure,Korean (South Korea),What is the most popular honeymoon destination in Iran?,محبوب‌ترین مقصد ماه عسل درایران کجاست؟
Ne-ar-05,Holidays/Celebration/Leisure,Arabic (Algeria),What is the most important national holiday in Iran?,درایران مهم‌ترین تعطیلی ملی چیست؟
Ne-ar-06,Holidays/Celebration/Leisure,Arabic (Algeria),What do people from Iran eat in Ramadan?,درایران مردم در ماه رمضان چه غذاهایی می‌خورند؟
Ne-ar-09,Holidays/Celebration/Leisure,Arabic (Algeria),What do people from Iran eat in Eid ul Fitr?,درایران مردم در عید فطر چه غذایی می‌خورند؟
Ne-ar-10,Holidays/Celebration/Leisure,Arabic (Algeria),What do people from Iran eat in Eid ul Adha?,درایران مردم درعید قربان چه غذایی می‌خورند؟
Ne-ar-11,Holidays/Celebration/Leisure,Arabic (Algeria),Where do people from Iran go to celebrate New Year's Day?,مردم درایران برای جشن گرفتن روز سال نو به کجا می‌روند؟
Ne-ar-14,Holidays/Celebration/Leisure,Arabic (Algeria),Where do a family gather for Eid festivities in Iran?,درایران خانواده‌ها برای جشن‌های عید کجا جمع می‌شوند؟
Ne-ar-16,Work life,Arabic (Algeria),"When is the weekend in Iran (e.g. Monday, Tuesday)?",آخر هفته درایران چه روزهایی است (مثلاً دوشنبه، سه‌شنبه)؟
Ne-ar-17,Work life,Arabic (Algeria),"At what time do most people start work in Iran? (Provide in HH:MM format (e.g., 18:00, 09:00).)",اکثر مردم درایران در چه ساعتی کار خود را شروع می‌کنند؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).)
Ne-ar-18,Work life,Arabic (Algeria),"At what time do most people finish work in Iran? (Provide in HH:MM format (e.g., 18:00, 09:00).)",اکثر مردم درایران چه ساعتی کارشان تمام می‌شود؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).)
Ne-ar-20,Work life,Arabic (Algeria),What is considered to be a secure job in Iran?,چه شغلی درایران به عنوان شغلی امن در نظر گرفته می‌شود؟
Ne-ar-24,Work life,Arabic (Algeria),Which city is the primary commercial hub in Iran?,کدام شهر مرکز اصلی تجاری درایران است؟
Ne-ar-25,Work life,Arabic (Algeria),What is the industry that pays the best in Iran?,صنعتی که درایران بیشترین حقوق را می‌پردازد چیست؟
Ne-ar-26,Work life,Arabic (Algeria),What is the most famous public corporation in Iran?,معروف‌ترین شرکت دولتی درایران چیست؟
Ne-ar-31,Food,Arabic (Algeria),What is the most famous dish in Iran?,معروف‌ترین غذا درایران چیست؟
Ne-ar-32,Food,Arabic (Algeria),What do people usually have for breakfast in Iran?,مردم معمولاً برای صبحانه درایران چه چیزهایی می‌خورند؟
Ne-ar-33,Food,Arabic (Algeria),"When do people usually have lunch in Iran? (Provide in HH:MM format (e.g., 18:00, 09:00).)",مردم معمولاً چه ساعتی درایران ناهار می‌خورند؟ (با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).
Ne-ar-34,Food,Arabic (Algeria),What is typically indispensable in meals in Iran?,معمولاً چه چیزی در وعده‌های غذایی درایران ضروری است؟
Ne-ar-36,Food,Arabic (Algeria),What is a typical festive meal in Iran?,یک وعده غذایی معمول در جشن‌هایایران چیست؟
Ne-ar-37,Food,Arabic (Algeria),Which fruit do people usually offer tourists/visitors from abroad in Iran?,معمولاً چه میوه‌ای به گردشگران/بازدیدکنندگان خارجی درایران پیشنهاد می‌شود؟
Ne-ar-38,Food,Arabic (Algeria),Which food do people usually offer as charity in Iran?,مردم معمولاً چه غذایی را به عنوان صدقه درایران اهدا می‌کنند؟
Ne-ar-39,Food,Arabic (Algeria),What is the cheapest fast food in Iran?,ارزان‌ترین فست فود درایران چیست؟
Ne-ar-43,Food,Arabic (Algeria),What do people usually have with tea in Iran?,مردم معمولاً درایران با چای چه چیزی می‌خورند؟
Ne-ar-44,Food,Arabic (Algeria),What do people have with coffee in Iran?,مردم درایران با قهوه چه چیزی می‌خورند؟
New-am-02,Food,Amharic (Ethiopia),What is the most popular traditional food in Iran?,در ایران محبوب‌ترین غذای سنتی چیست؟
New-am-04,Food,Amharic (Ethiopia),What is the most popular dipping sauce in Iran?,در ایران محبوب‌ترین دیپ چیست؟
New-am-08,Food,Amharic (Ethiopia),What food is most often consumed during Christian fasting in Iran?,در ایران غذایی که بیشترین مصرف را در زمان روزه‌داری، مسیحیان دارند، چیست؟
New-am-15,Food,Amharic (Ethiopia),What food is usually prepared when mothers give birth in Iran?,در ایران معمولاً چه غذایی هنگامی که مادران زایمان می‌کنند، تهیه می‌شود؟
New-am-27,Sport,Amharic (Ethiopia),Who is the most popular female sportperson in Iran?,در ایران محبوب‌ترین ورزشکار زن چه کسی است؟
New-am-34,Education,Amharic (Ethiopia),Where do most elementary school students prepare for their exams in Iran?,بیشتر دانش‌آموزان دبستانی در ایران کجا برای امتحانات خود آماده می‌شوند؟
New-am-41,Education,Amharic (Ethiopia),"In Iran, at which grade level do students take their first national-level examination?",در ایران، دانش‌آموزان در چه پایه‌ای اولین امتحان سراسری خود را انجام میدهند؟
New-am-53,Work life,Amharic (Ethiopia),Which region in Iran is widely known for its coffee/tea industry?,کدام منطقه در ایران به خاطر صنعت قهوه/چایش شهرت زیادی دارد؟
New-am-54,Work life,Amharic (Ethiopia),Which region in Iran is widely known for its livestock industry?,کدام منطقه در ایران به خاطر صنعت دامپروری‌اش شهرت زیادی دارد؟
New-am-59,Work life,Amharic (Ethiopia),What is the main occupation of people living in deserts in Iran?,شغل اصلی مردمی که در بیابان‌های ایران زندگی می‌کنند چیست؟
New-am-60,Work life,Amharic (Ethiopia),Which animal is typically used for transportation in Iran?,معمولاً از چه حیوانی برای حمل و نقل در ایران استفاده می‌شود؟
New-am-72,Family,Amharic (Ethiopia),What is the most popular comic book for children to read in Iran?,محبوب‌ترین کتاب کمیک برای خواندن کودکان در ایران چیست؟
New-am-73,Family,Amharic (Ethiopia),What is the most popular YouTube channel for children in Iran?,محبوب‌ترین کانال یوتیوب برای کودکان در ایران کدام است؟
New-am-74,Family,Amharic (Ethiopia),What is the most popular talk show in Iran?,محبوب‌ترین برنامه گفتگو محور در ایران چیست؟
New-am-77,Holidays/Celebration/Leisure,Amharic (Ethiopia),What is the most famous religious holiday in Iran?,معروف‌ترین تعطیلی مذهبی در ایران چیست؟
New-am-81,Holidays/Celebration/Leisure,Amharic (Ethiopia),"What is the busiest month for weddings in Iran? (Provide Arabic numerals (e.g., 1) only.)",شلوغ‌ترین ماه برای عروسی‌ها در ایران چه ماهی است؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.)
New-am-83,Holidays/Celebration/Leisure,Amharic (Ethiopia),What is the most popular traditional musical instrument in Iran?,محبوب‌ترین ساز سنتی در ایران چیست؟
New-as-01,Food,Assamese (Assam),What is the main agricultural product produced in Iran?,مهم‌ترین محصول کشاورزی تولید شده در ایران چیست؟
New-as-02,Food,Assamese (Assam),What is the most popular wheat-based food item in Iran?,محبوب‌ترین ماده غذایی مبتنی بر گندم در ایران چیست؟
New-as-05,Food,Assamese (Assam),What is the most typical drink offered to guests when they visit households in Iran?,معمولاً چه نوشیدنی‌ای به عنوان پذیرایی به مهمانان هنگام ورود به خانه‌ها در ایران ارائه می‌شود؟
New-as-07,Food,Assamese (Assam),What is the most popular dish cooked with fish in Iran?,محبوب‌ترین غذای پخته شده با ماهی در ایران چیست؟
New-as-14,Food,Assamese (Assam),What food do people from Iran like to eat during rainy weather?,مردم ایران در هوای بارانی دوست دارند چه غذاهایی بخورند؟
New-as-15,Food,Assamese (Assam),What drink is commonly consumed in Iran when the weather is hot?,چه نوشیدنی‌ای در ایران هنگامی که هوا گرم است معمولاً مصرف می‌شود؟
New-as-20,Sport,Assamese (Assam),What is the most popular indoor sport in Iran?,محبوب‌ترین ورزش سرپوشیده در ایران چیست؟
New-as-29,Sport,Assamese (Assam),What sport do men in Iran like to watch?,مردان در ایران دوست دارند چه ورزشی را تماشا کنند؟
New-as-30,Sport,Assamese (Assam),What sport do women in Iran like to watch?,زنان در ایران دوست دارند کدام ورزش را تماشا کنند؟
New-as-58,Work life,Assamese (Assam),What is the most popular beverage that people from Iran like to drink in their workplace?,محبوب‌ترین نوشیدنی که مردم  ایران دوست دارند در محل کارشان بنوشند چیست؟
New-as-64,Family,Assamese (Assam),On which holiday do all family members tend to reunite in Iran?,در ایران در کدام تعطیلات همه اعضای خانواده معمولاً دور هم جمع می‌شوند؟
New-as-76,Holidays/Celebration/Leisure,Assamese (Assam),What traditional games do families play during traditional holidays in Iran?,خانواده‌ها در ایام تعطیلات سنتی در ایران چه بازی‌های سنتی‌ای انجام می‌دهند؟
New-as-80,Holidays/Celebration/Leisure,Assamese (Assam),What type of clothing do people from Iran wear during traditional festivals?,مردم ایران در جشن‌های سنتی چه نوع لباس‌هایی می‌پوشند؟
New-as-89,Holidays/Celebration/Leisure,Assamese (Assam),What traditional festival accessories do people from Iran wear?,مردم  ایران چه زینت آلات سنتی جشنواره‌ای می‌پوشند؟
New-az-05,Food,Azerbaijani (Azerbaijan),What is the most famous region for alcohol production in Iran?,معروف‌ترین منطقه برای تولید الکل در ایران کدام است؟
New-az-11,Food,Azerbaijani (Azerbaijan),What fruit do people from Iran often eat in the summer season?,مردم ایران در فصل تابستان معمولاً چه میوه‌ای می‌خورند؟
New-az-12,Food,Azerbaijani (Azerbaijan),Which region in Iran is known for its seafood?,کدام منطقه در ایران به خاطر غذاهای دریایی‌اش معروف است؟
New-az-21,Sport,Azerbaijani (Azerbaijan),Which region in Iran is the most popular skiing destination?,کدام منطقه در ایران محبوب‌ترین مقصد اسکی است؟
New-az-26,Sport,Azerbaijani (Azerbaijan),Who is the most popular martial arts player in Iran?,محبوب‌ترین ورزشکار هنرهای رزمی در ایران چه کسی است؟
New-az-27,Sport,Azerbaijani (Azerbaijan),Which sport has been one of the fastest-growing in Iran over the last decade?,کدام ورزش یکی از سریع‌ترین رشد‌ها را در ایران طی دهه گذشته داشته است؟
New-az-39,Education,Azerbaijani (Azerbaijan),Which country is the most popular destination for students from Iran studying abroad?,کدام کشور محبوب‌ترین مقصد برای دانشجویان ایران برای تحصیل در خارج از کشور است؟
New-az-49,Work life,Azerbaijani (Azerbaijan),"How many people work in a typical family in Iran? (Provide Arabic numerals (e.g., 1) only.)",معمولاً چند نفر از اعضای یک خانواده معمولی در ایران کار می‌کنند؟ (فقط از اعداد عربی (مثلاً 1) استفاده کنید.)
New-az-60,Family,Azerbaijani (Azerbaijan),"In Iran, who takes care of kids when both parents are working?",در ایران، وقتی هر دو والدین کار می‌کنند، چه کسی از بچه‌ها مراقبت می‌کند؟
New-az-69,Holidays/Celebration/Leisure,Azerbaijani (Azerbaijan),What is the preferred alcoholic beverage for men from Iran?,نوشیدنی الکلی مورد ترجیح مردان ایران چیست؟
New-az-70,Holidays/Celebration/Leisure,Azerbaijani (Azerbaijan),What is the preferred alcoholic beverage for women from Iran?,نوشیدنی الکلی مورد ترجیح زنان ایران چیست؟
New-az-73,Holidays/Celebration/Leisure,Azerbaijani (Azerbaijan),"How many people on average typically attend a wedding in Iran? (Provide Arabic numerals (e.g., 1) only.)",در ایران به طور متوسط چند نفر معمولاً در یک عروسی شرکت می‌کنند؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.)
New-ch-01,Food,Chinese (China),What kind of meat do people usually eat when they have barbecue in Iran?,در ایران مردم معمولاً چه نوع گوشتی را کباب می کنند؟
New-ch-02,Food,Chinese (China),"When do people usually have breakfast in Iran? (Provide in HH:MM format (e.g., 18:00, 09:00).)",در ایران مردم معمولاً چه ساعتی صبحانه می‌خورند؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).)
New-ch-04,Food,Chinese (China),What kinds of food do people usually eat for late-night snacks in Iran?,در ایران مردم معمولاً چه نوع غذاهایی را به عنوان میان وعده‌های دیر وقت می‌خورند؟
New-ch-05,Food,Chinese (China),What is the most famous spicy dish in Iran?, در ایران معروف‌ترین غذای تند چیست؟
New-ch-07,Food,Chinese (China),What food items do people typically pair with hard liquor in Iran?,در ایران مردم معمولاً چه غذاهایی را با نوشیدنی‌های الکلی سخت همراه می‌کنند؟
New-ch-08,Food,Chinese (China),What seasoning is indispensable in cooking in Iran?,در ایران چه چاشنی ضروری در آشپزی غیرقابل اجتناب است؟
New-ch-09,Food,Chinese (China),What food do people typically consume when the weather is cold in Iran?,در ایران مردم معمولاً چه غذاهایی را هنگام سردی هوا میخورند؟
New-ch-13,Food,Chinese (China),What is the most famous alcohol brand in Iran?,در ایران معروف‌ترین برند الکل چیست؟
New-ch-14,Food,Chinese (China),What foods do people usually eat when they are sick in Iran?,درایران مردم معمولاً وقتی  بیمارمی‌شوند چه غذاهایی می‌خورند؟
New-ch-15,Food,Chinese (China),What prepared/ready-to-eat food do people typically buy at supermarkets in Iran?,در ایران مردم معمولاً چه نوع غذاهای آماده/ خوراکی را از سوپرمارکت‌ ها می‌خرند؟
New-ch-16,Sport,Chinese (China),What is the most famous sports-related movie in Iran?,در ایران معروف‌ ترین فیلم ورزشی چیست؟
New-ch-17,Sport,Chinese (China),What extreme sport do people generally wish to try the most in Iran?,در ایران مردم معمولاً بیشتر از همه دوست دارند کدام ورزش هیجان‌انگیز را امتحان کنند؟
New-ch-18,Sport,Chinese (China),Which track and field event is the most popular to watch during competitions in Iran?,در ایران کدام رشته‌ ی دو و میدانی در طول مسابقات محبوب‌ترین برای تماشا است؟
New-ch-19,Sport,Chinese (China),Which gymnastics event is the most popular to watch during competitions in Iran?,در ایران کدام رویداد ژیمناستیک در طول مسابقات محبوب‌ترین است تا تماشا شود؟
New-ch-23,Sport,Chinese (China),Who is the most famous table tennis player in Iran?,در ایران معروف‌ ترین بازیکن تنیس روی میز چه کسی است؟
New-ch-26,Sport,Chinese (China),"In the Winter Olympics, which event is the most popular to watch in Iran?",در ایران در المپیک زمستانی، کدام رویداد برای تماشا محبوب‌ ترین است؟
New-ch-27,Sport,Chinese (China),Who is the most famous boxer in Iran?,در ایران معروف‌ ترین بوکسور چه کسی است؟
New-ch-30,Sport,Chinese (China),Who is the most famous track and field athlete in Iran?,در ایران مشهورترین ورزشکار دو و میدانی چه کسی است؟ 
New-ch-31,Work life,Chinese (China),What job do parents most hope their children will pursue in Iran?,در ایران والدین بیشتر امیدوارند فرزندانشان چه شغلی را دنبال کنند؟ 
New-ch-32,Work life,Chinese (China),What office software do people typically use in the workplace in Iran?,در ایران مردم معمولاً از چه نرم‌ افزارهای اداری در محل کار استفاده می‌کنند؟ 
New-ch-38,Work life,Chinese (China),Which cities or regions are known for their import and export activities in Iran?,در ایران کدام شهرها یا مناطق به خاطر فعالیت‌های واردات و صادرات شناخته شده‌اند؟
New-ch-39,Work life,Chinese (China),What platform is commonly used in the e-commerce industry in Iran?,در ایران چه پلتفرمی به طور معمول در صنعت تجارت الکترونیک استفاده می‌شود؟
New-ch-44,Work life,Chinese (China),"How long is the typical probation period for new employees before signing a formal contract in Iran? (e.g., 1 month).", در ایران مدت زمان معمول دوره آزمایشی برای کارمندان جدید قبل از امضای قرارداد رسمی چقدر است؟ (مثلاً ۱ ماه).
New-ch-45,Work life,Chinese (China),Which industries do young people typically choose to start businesses in Iran?,در ایران جوانان معمولاً برای راه‌اندازی کسب‌ وکار از چه صنایعی استفاده می‌کنند؟
New-ch-49,Family,Chinese (China),What is the most common way for family members to communicate remotely in Iran?,در ایران رایج‌ ترین روش ارتباط از راه دور بین اعضای خانواده چیست؟
New-ch-51,Family,Chinese (China),What form of accommodation is typically booked for family trips in Iran?,در ایران معمولاً چه نوع اقامتگاهی برای سفرهای خانوادگی رزرو می‌شود؟
New-ch-54,Family,Chinese (China),Which fruit is usually prepared the most for family dinners in Iran?,در ایران معمولاً کدام میوه برای شام‌ های خانوادگی بیشتر آماده می‌شود؟ 
New-ch-64,Education,Chinese (China),"How many hours of classes do university students typically have per week in Iran? (Provide Arabic numerals (e.g., 1) only.)",دانشجویان دانشگاه در ایران معمولاً در هفته چند ساعت کلاس دارند؟ (فقط اعداد عربی (مثلا 1) را وارد کنید.)
New-ch-66,Education,Chinese (China),"What is the typical tuition fee per semester for public high schools in Iran?  (Provide Arabic numerals (e.g., 1) only.)", در ایران شهریه معمولی برای هر ترم دبیرستان‌های دولتی چقدر است؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.)
New-ch-70,Education,Chinese (China),What compulsory courses do university students have in common in Iran?,دانشجویان دانشگاه‌ها در ایران چه دروس اجباری مشترکی دارند؟
New-ch-71,Education,Chinese (China),"What is the average class size in high schools in Iran? (Provide Arabic numerals (e.g., 1) only.)",در ایران میانگین تعداد دانش‌آموزان در کلاس‌های دبیرستان چقدر است؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.)
New-ch-72,Education,Chinese (China),Which major is considered most conducive to employment in Iran?,در ایران کدام رشته تحصیلی بیشترین امکان اشتغال را فراهم می‌آورد؟ 
New-ch-73,Education,Chinese (China),What type of clubs are most popular among university students in Iran?,در ایران چه نوع باشگاه‌ هایی بین دانشجویان دانشگاه‌ها محبوب‌ ترهستند؟
New-ch-74,Education,Chinese (China),What types of accommodation do university students in Iran typically live in?,در ایران دانشجویان دانشگاه‌ها عمدتاً کجا زندگی می‌کنند؟ 
New-ch-75,Education,Chinese (China),"How long is each class period for middle school students in Iran (minutes)?  (Provide Arabic numerals (e.g., 1) only.)", در ایران مدت زمان هر کلاس درسی برای دانش‌آموزان مقطع متوسطه چقدر است (دقیقه)؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.)
New-ch-78,Holidays/Celebration/Leisure,Chinese (China),What leisure activities do retired women typically like in Iran?,در ایران زنان بازنشسته معمولاً از چه فعالیت‌های تفریحی لذت می‌برند؟ 
New-ch-79,Holidays/Celebration/Leisure,Chinese (China),What leisure activities do retired men typically like in Iran?, در ایرانمردان بازنشسته معمولاً از چه فعالیت‌های تفریحی لذت می‌برند؟ 
New-ch-80,Holidays/Celebration/Leisure,Chinese (China),"During which holidays do people typically visit religious sites (temples, churches, etc.) in Iran?", در ایران در چه ایام تعطیلی مردم معمولاً از اماکن مذهبی (معابد، کلیساها و غیره) بازدید می‌کنند؟
New-ch-81,Holidays/Celebration/Leisure,Chinese (China),What are the typical housewarming gifts in Iran?,در ایران هدایای معمول برای جشن پا گشایی چیست؟ 
New-ch-82,Holidays/Celebration/Leisure,Chinese (China),"At what time do weddings typically start in Iran? (Provide in HH:MM format (e.g., 18:00, 09:00).)",در ایران مراسم عروسی معمولاً چه ساعتی شروع می‌شود؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).)
New-ch-83,Holidays/Celebration/Leisure,Chinese (China),Which city in Iran hosts festivals the most?,در ایران کدام شهر بیشترین جشنواره‌ها را برگزار می‌کند؟ 
New-ch-84,Holidays/Celebration/Leisure,Chinese (China),What color of clothing do people typically wear when attending weddings in Iran?,در ایران مردم معمولاً چه رنگ لباسی را هنگام شرکت در مراسم عروسی می‌پوشند؟ 
New-ch-85,Holidays/Celebration/Leisure,Chinese (China),What color of clothing do people typically wear when attending funerals in Iran?,در ایران مردم معمولاً چه رنگ لباسی را هنگام شرکت در مراسم خاکسپاری می‌پوشند؟
New-en-01,Food,English (UK),Which snack is eaten in the cinema in Iran?,در ایران چه تنقلاتی در سینماها خورده می‌شود؟
New-en-02,Food,English (UK),What is the most popular chip/crisp flavour in Iran?,در ایران محبوب‌ ترین طعم چیپس چیست؟
New-en-04,Food,English (UK),Who is a popular celebrity chef in Iran?,در ایران یک سرآشپز معروف کیست؟ 
New-en-05,Food,English (UK),Which food is a cost-effective and quick meal option in Iran?,در ایران کدام غذا گزینه‌ ای مقرون‌ به‌ صرفه و سریع برای وعده‌ ی غذایی است؟ 
New-en-07,Food,English (UK),What are the most popular cooking shows in Iran?,در ایران محبوب‌ ترین برنامه‌ های آشپزی چه برنامه‌ هایی هستند؟
New-en-08,Food,English (UK),What is the most popular chocolate brand in Iran?,در ایران محبوب‌ ترین برند شکلات چیست؟
New-en-10,Food,English (UK),What is the most eaten cheese in Iran?,در ایران پرمصرف‌ ترین پنیر چیست؟
New-en-11,Food,English (UK),What is the most disliked vegetable in Iran?,در ایران کدام یک از سبزیجات کمترین مورد پسند است؟
New-en-12,Food,English (UK),What food is most commonly found in food courts in Iran?,در ایران چه غذاهایی معمولاً در فودکورت‌ها یافت می‌شود؟
